,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
172,0.265,0.116,-19.581,0.0361,0.962,0.911,0.0639,0.141,97.857,6oQ2HG7O0qGc3OLOjP7VRi,605000,4
173,0.843,0.7,-3.563,0.0803,0.0934,0.0,0.14,0.899,93.991,1ri9ZUkBJVFUdgwzCnfcYs,226088,4
174,0.499,0.373,-7.811,0.0363,0.844,0.0,0.135,0.425,119.778,6tfAzsD05DTKGo4MQCgNcT,205518,4
175,0.81,0.789,-5.08,0.0846,0.191,1.08e-05,0.467,0.77,105.009,2NMjggapJcXXM7WccGEBUO,176000,4
176,0.652,0.664,-6.422,0.038,0.00758,0.00199,0.0937,0.599,135.017,2BGGgxDFHRyyzvjjKzbEUl,270220,4
177,0.544,0.786,-2.97,0.0501,0.00991,0.0,0.169,0.446,153.967,6Jkm5kUldvIqxzI1Pa7nXH,157138,4
178,0.717,0.932,-1.607,0.153,0.0285,0.107,0.0949,0.961,123.906,1Ihpps7NA0Qhu3uUa3x7K6,270461,4
179,0.714,0.645,-5.493,0.0514,0.229,0.00083,0.0942,0.434,85.046,28GCbKgjlVD9eDmasGbe0T,180930,4
180,0.674,0.87,-6.404,0.0415,0.00072,0.00875,0.0247,0.759,127.988,3aSEwDuVlabNvITpOKkiwT,270069,4
181,0.912,0.774,-4.673,0.0455,0.121,0.0127,0.101,0.632,119.966,10xV5l9nhLvFpR8mqzs0bL,155589,4
182,0.736,0.887,-7.121,0.143,0.779,1.27e-06,0.101,0.874,82.008,1Gf36LzOmcIn8vcQMrQIm2,224126,4
183,0.852,0.421,-9.153,0.208,0.428,2.28e-06,0.106,0.457,95.977,1QPreu0BNOrUfEb8HTd2qG,202285,4
184,0.503,0.496,-9.123,0.0556,0.693,0.0,0.123,0.412,187.844,18HOjcvTVV7W8YzBuOsAPS,148143,4
185,0.43,0.86,-7.032,0.265,0.0267,0.301,0.807,0.369,179.968,3Uskm1BFladbHCBqQSxbKl,600899,4
186,0.907,0.577,-6.737,0.0767,0.438,3.19e-05,0.137,0.801,140.07,3lzUeaCbcCDB5IXYfqWRlF,220779,4
187,0.564,0.767,-5.839,0.0297,0.000279,0.000983,0.184,0.221,114.006,5KOr7JBQfQ1vbjGa189Gw6,333880,4
188,0.773,0.422,-4.572,0.187,0.00783,0.00693,0.129,0.488,77.502,3XOalgusokruzA5ZBA2Qcb,136267,1
189,0.418,0.125,-20.471,0.0324,0.936,0.811,0.142,0.356,97.058,332ERDsBLIekg5IZDwb2tB,434000,3
190,0.71,0.522,-9.102,0.36,0.615,0.0,0.11,0.37,96.448,3EMp20j5E42MxfFbsEsIvD,309327,4
191,0.363,0.0472,-19.968,0.039,0.967,0.826,0.162,0.0745,114.36,1bEgBgMIfdpvw0HcCapAks,208000,4
192,0.417,0.202,-10.976,0.0357,0.935,0.0,0.108,0.323,118.029,6qj02zSeEJGWZ4c0dn5QzJ,194544,4
193,0.417,0.452,-16.777,0.0487,0.839,0.83,0.098,0.751,175.667,6pRgYY5NtiwCNQ4yT2jAXQ,141000,4
194,0.614,0.644,-5.372,0.0426,0.0134,7.07e-06,0.117,0.651,160.036,0IuVhCflrQPMGRrOyoY5RW,206772,4
195,0.54,0.1,-26.114,0.0354,0.91,0.0511,0.0558,0.403,93.788,0azOkHfzw0pLGF41f8Khmw,273000,4
196,0.362,0.54,-6.031,0.0528,0.338,0.0,0.139,0.3,78.007,1ei3hzQmrgealgRKFxIcWn,216410,3
197,0.628,0.347,-15.495,0.0334,0.887,0.971,0.202,0.69,96.247,6VB4GnzupnwBCA17kQFqdw,210000,4
